Sites,Depth(m),Lat DD,Long DD,Raw Site,Strombus_alatus
I-A-T,4,25.01836667N,081.28546667W,I-A,
I-A-W,4,25.01836667N,081.28546667W,I-A,
I-A-LR,4,25.01836667N,081.28546667W,I-A,
I-A-Live,4,25.01836667N,081.28546667W,I-A,
I-A-G1,4,25.01836667N,081.28546667W,I-A,
I-A-G2,4,25.01836667N,081.28546667W,I-A,
I-A-G3,4,25.01836667N,081.28546667W,I-A,
I-B-T,8,24.99961667N,081.50070000W,I-B,93
I-B-W,8,24.99961667N,081.50070000W,I-B,
I-B-LR,8,24.99961667N,081.50070000W,I-B,
I-B-Live,8,24.99961667N,081.50070000W,I-B,26
I-B-G1,8,24.99961667N,081.50070000W,I-B,38
I-B-G2,8,24.99961667N,081.50070000W,I-B,11
I-B-G3,8,24.99961667N,081.50070000W,I-B,18
I-C-T,14,25.00591667N,081.74468333W,I-C,128
I-C-W,14,25.00591667N,081.74468333W,I-C,
I-C-LR,14,25.00591667N,081.74468333W,I-C,
I-C-Live,14,25.00591667N,081.74468333W,I-C,75
I-C-G1,14,25.00591667N,081.74468333W,I-C,16
I-C-G2,14,25.00591667N,081.74468333W,I-C,12
I-C-G3,14,25.00591667N,081.74468333W,I-C,25
I-D-T,20,25.00006667N,082.00075000W,I-D,38
I-D-W,20,25.00006667N,082.00075000W,I-D,
I-D-LR,20,25.00006667N,082.00075000W,I-D,
I-D-Live,20,25.00006667N,082.00075000W,I-D,2
I-D-G1,20,25.00006667N,082.00075000W,I-D,15
I-D-G2,20,25.00006667N,082.00075000W,I-D,10
I-D-G3,20,25.00006667N,082.00075000W,I-D,11
II-A-T,9,25.13005000N,081.56015000W,II-A,112
II-A-W,9,25.13005000N,081.56015000W,II-A,
II-A-LR,9,25.13005000N,081.56015000W,II-A,
II-A-Live,9,25.13005000N,081.56015000W,II-A,78
II-A-G1,9,25.13005000N,081.56015000W,II-A,16
II-A-G2,9,25.13005000N,081.56015000W,II-A,7
II-A-G3,9,25.13005000N,081.56015000W,II-A,11
II-B-T,12,25.12860000N,081.72176667W,II-B,8
II-B-W,12,25.12860000N,081.72176667W,II-B,
II-B-LR,12,25.12860000N,081.72176667W,II-B,
II-B-Live,12,25.12860000N,081.72176667W,II-B,1
II-B-G1,12,25.12860000N,081.72176667W,II-B,4
II-B-G2,12,25.12860000N,081.72176667W,II-B,1
II-B-G3,12,25.12860000N,081.72176667W,II-B,2
II-C-T,15.5,25.13028333N,081.84933333W,II-C,3
II-C-W,15.5,25.13028333N,081.84933333W,II-C,
II-C-LR,15.5,25.13028333N,081.84933333W,II-C,
II-C-Live,15.5,25.13028333N,081.84933333W,II-C,
II-C-G1,15.5,25.13028333N,081.84933333W,II-C,
II-C-G2,15.5,25.13028333N,081.84933333W,II-C,
II-C-G3,15.5,25.13028333N,081.84933333W,II-C,3
II-D-T,19,25.13023333N,081.95095000W,II-D,20
II-D-W,19,25.13023333N,081.95095000W,II-D,
II-D-LR,19,25.13023333N,081.95095000W,II-D,
II-D-Live,19,25.13023333N,081.95095000W,II-D,5
II-D-G1,19,25.13023333N,081.95095000W,II-D,9
II-D-G2,19,25.13023333N,081.95095000W,II-D,2
II-D-G3,19,25.13023333N,081.95095000W,II-D,4
II-Z-T,6,25.12880000N,081.37583333W,II-Z,28
II-Z-W,6,25.12880000N,081.37583333W,II-Z,
II-Z-LR,6,25.12880000N,081.37583333W,II-Z,
II-Z-Live,6,25.12880000N,081.37583333W,II-Z,10
II-Z-G1,6,25.12880000N,081.37583333W,II-Z,13
II-Z-G2,6,25.12880000N,081.37583333W,II-Z,3
II-Z-G3,6,25.12880000N,081.37583333W,II-Z,2
III-A-T,10,26.00206667N,081.94008333W,III-A,13
III-A-W,10,26.00206667N,081.94008333W,III-A,
III-A-LR,10,26.00206667N,081.94008333W,III-A,
III-A-Live,10,26.00206667N,081.94008333W,III-A,2
III-A-G1,10,26.00206667N,081.94008333W,III-A,6
III-A-G2,10,26.00206667N,081.94008333W,III-A,4
III-A-G3,10,26.00206667N,081.94008333W,III-A,1
III-B-T,12,26.00000000N,081.98983333W,III-B,8
III-B-W,12,26.00000000N,081.98983333W,III-B,
III-B-LR,12,26.00000000N,081.98983333W,III-B,
III-B-Live,12,26.00000000N,081.98983333W,III-B,
III-B-G1,12,26.00000000N,081.98983333W,III-B,3
III-B-G2,12,26.00000000N,081.98983333W,III-B,2
III-B-G3,12,26.00000000N,081.98983333W,III-B,3
III-C-T,15,26.00073333N,082.07935000W,III-C,30
III-C-W,15,26.00073333N,082.07935000W,III-C,
III-C-LR,15,26.00073333N,082.07935000W,III-C,
III-C-Live,15,26.00073333N,082.07935000W,III-C,
III-C-G1,15,26.00073333N,082.07935000W,III-C,12
III-C-G2,15,26.00073333N,082.07935000W,III-C,6
III-C-G3,15,26.00073333N,082.07935000W,III-C,12
III-D-T,24,26.00381667N,082.39168333W,III-D,13
III-D-W,24,26.00381667N,082.39168333W,III-D,
III-D-LR,24,26.00381667N,082.39168333W,III-D,
III-D-Live,24,26.00381667N,082.39168333W,III-D,
III-D-G1,24,26.00381667N,082.39168333W,III-D,8
III-D-G2,24,26.00381667N,082.39168333W,III-D,3
III-D-G3,24,26.00381667N,082.39168333W,III-D,2
III-E-T,33.5,26.00185000N,082.67596667W,III-E,8
III-E-W,33.5,26.00185000N,082.67596667W,III-E,
III-E-LR,33.5,26.00185000N,082.67596667W,III-E,
III-E-Live,33.5,26.00185000N,082.67596667W,III-E,
III-E-G1,33.5,26.00185000N,082.67596667W,III-E,1
III-E-G2,33.5,26.00185000N,082.67596667W,III-E,3
III-E-G3,33.5,26.00185000N,082.67596667W,III-E,4
III-F-T,43.5,26.00423333N,082.98818333W,III-F,5
III-F-W,43.5,26.00423333N,082.98818333W,III-F,
III-F-LR,43.5,26.00423333N,082.98818333W,III-F,
III-F-Live,43.5,26.00423333N,082.98818333W,III-F,
III-F-G1,43.5,26.00423333N,082.98818333W,III-F,
III-F-G2,43.5,26.00423333N,082.98818333W,III-F,3
III-F-G3,43.5,26.00423333N,082.98818333W,III-F,2
III-G-T,55,26.00603333N,083.25626667W,III-G,
III-G-W,55,26.00603333N,083.25626667W,III-G,
III-G-LR,55,26.00603333N,083.25626667W,III-G,
III-G-Live,55,26.00603333N,083.25626667W,III-G,
III-G-G1,55,26.00603333N,083.25626667W,III-G,
III-G-G2,55,26.00603333N,083.25626667W,III-G,
III-G-G3,55,26.00603333N,083.25626667W,III-G,
III-H-T,55,26.02686667N,083.27163333W,III-H,2
III-H-W,55,26.02686667N,083.27163333W,III-H,
III-H-LR,55,26.02686667N,083.27163333W,III-H,
III-H-Live,55,26.02686667N,083.27163333W,III-H,
III-H-G1,55,26.02686667N,083.27163333W,III-H,2
III-H-G2,55,26.02686667N,083.27163333W,III-H,
III-H-G3,55,26.02686667N,083.27163333W,III-H,
III-H2-T,70,25.96341667N,083.67253333W,III-H2,
III-H2-W,70,25.96341667N,083.67253333W,III-H2,
III-H2-LR,70,25.96341667N,083.67253333W,III-H2,
III-H2-Live,70,25.96341667N,083.67253333W,III-H2,
III-H2-G1,70,25.96341667N,083.67253333W,III-H2,
III-H2-G2,70,25.96341667N,083.67253333W,III-H2,
III-H2-G3,70,25.96341667N,083.67253333W,III-H2,
III-I-1+2-T,91,25.99233333N,083.76325000W,III-I-1+2,8
III-I-1+2-W,91,25.99233333N,083.76325000W,III-I-1+2,
III-I-1+2-LR,91,25.99233333N,083.76325000W,III-I-1+2,
III-I-1+2-Live,91,25.99233333N,083.76325000W,III-I-1+2,
III-I-1+2-G1,91,25.99233333N,083.76325000W,III-I-1+2,1
III-I-1+2-G2,91,25.99233333N,083.76325000W,III-I-1+2,2
III-I-1+2-G3,91,25.99233333N,083.76325000W,III-I-1+2,5
III-J-T,117,25.99191667N,083.91118333W,III-J,
III-J-W,117,25.99191667N,083.91118333W,III-J,
III-J-LR,117,25.99191667N,083.91118333W,III-J,
III-J-Live,117,25.99191667N,083.91118333W,III-J,
III-J-G1,117,25.99191667N,083.91118333W,III-J,
III-J-G2,117,25.99191667N,083.91118333W,III-J,
III-J-G3,117,25.99191667N,083.91118333W,III-J,
III-K-T,159,25.99105000N,084.14621667W,III-K,
III-K-W,159,25.99105000N,084.14621667W,III-K,
III-K-LR,159,25.99105000N,084.14621667W,III-K,
III-K-Live,159,25.99105000N,084.14621667W,III-K,
III-K-G1,159,25.99105000N,084.14621667W,III-K,
III-K-G2,159,25.99105000N,084.14621667W,III-K,
III-K-G3,159,25.99105000N,084.14621667W,III-K,
III-L-T,196,25.99613333N,084.34551667W,III-L,
III-L-W,196,25.99613333N,084.34551667W,III-L,
III-L-LR,196,25.99613333N,084.34551667W,III-L,
III-L-Live,196,25.99613333N,084.34551667W,III-L,
III-L-G1,196,25.99613333N,084.34551667W,III-L,
III-L-G2,196,25.99613333N,084.34551667W,III-L,
III-L-G3,196,25.99613333N,084.34551667W,III-L,
III-M-T,214,25.99860000N,084.53570000W,III-M,
III-M-W,214,25.99860000N,084.53570000W,III-M,
III-M-LR,214,25.99860000N,084.53570000W,III-M,
III-M-Live,214,25.99860000N,084.53570000W,III-M,
III-M-G1,214,25.99860000N,084.53570000W,III-M,
III-M-G2,214,25.99860000N,084.53570000W,III-M,
III-M-G3,214,25.99860000N,084.53570000W,III-M,
III-N-T,237,26.00020000N,084.56170000W,III-N,
III-N-W,237,26.00020000N,084.56170000W,III-N,
III-N-LR,237,26.00020000N,084.56170000W,III-N,
III-N-Live,237,26.00020000N,084.56170000W,III-N,
III-N-G1,237,26.00020000N,084.56170000W,III-N,
III-N-G2,237,26.00020000N,084.56170000W,III-N,
III-N-G3,237,26.00020000N,084.56170000W,III-N,
III-O-T,300,25.99051667N,084.59901667W,III-O,
III-O-W,300,25.99051667N,084.59901667W,III-O,
III-O-LR,300,25.99051667N,084.59901667W,III-O,
III-O-Live,300,25.99051667N,084.59901667W,III-O,
III-O-G1,300,25.99051667N,084.59901667W,III-O,
III-O-G2,300,25.99051667N,084.59901667W,III-O,
III-O-G3,300,25.99051667N,084.59901667W,III-O,
III-P-T,330,26.00011667N,084.63950000W,III-P,
III-P-W,330,26.00011667N,084.63950000W,III-P,
III-P-LR,330,26.00011667N,084.63950000W,III-P,
III-P-Live,330,26.00011667N,084.63950000W,III-P,
III-P-G1,330,26.00011667N,084.63950000W,III-P,
III-P-G2,330,26.00011667N,084.63950000W,III-P,
III-P-G3,330,26.00011667N,084.63950000W,III-P,
III-Q-T,330,26.00596667N,084.62293333W,III-Q,
III-Q-W,330,26.00596667N,084.62293333W,III-Q,
III-Q-LR,330,26.00596667N,084.62293333W,III-Q,
III-Q-Live,330,26.00596667N,084.62293333W,III-Q,
III-Q-G1,330,26.00596667N,084.62293333W,III-Q,
III-Q-G2,330,26.00596667N,084.62293333W,III-Q,
III-Q-G3,330,26.00596667N,084.62293333W,III-Q,
IV-A-T,15,27.05113333N,082.63380000W,IV-A,22
IV-A-W,15,27.05113333N,082.63380000W,IV-A,
IV-A-LR,15,27.05113333N,082.63380000W,IV-A,
IV-A-Live,15,27.05113333N,082.63380000W,IV-A,
IV-A-G1,15,27.05113333N,082.63380000W,IV-A,2
IV-A-G2,15,27.05113333N,082.63380000W,IV-A,7
IV-A-G3,15,27.05113333N,082.63380000W,IV-A,13
IV-B-T,8,27.12023333N,082.48778333W,IV-B,20
IV-B-W,8,27.12023333N,082.48778333W,IV-B,
IV-B-LR,8,27.12023333N,082.48778333W,IV-B,
IV-B-Live,8,27.12023333N,082.48778333W,IV-B,
IV-B-G1,8,27.12023333N,082.48778333W,IV-B,1
IV-B-G2,8,27.12023333N,082.48778333W,IV-B,4
IV-B-G3,8,27.12023333N,082.48778333W,IV-B,15
IV-C-T,8.5,27.26936667N,082.58750000W,IV-C,3
IV-C-W,8.5,27.26936667N,082.58750000W,IV-C,
IV-C-LR,8.5,27.26936667N,082.58750000W,IV-C,
IV-C-Live,8.5,27.26936667N,082.58750000W,IV-C,
IV-C-G1,8.5,27.26936667N,082.58750000W,IV-C,
IV-C-G2,8.5,27.26936667N,082.58750000W,IV-C,
IV-C-G3,8.5,27.26936667N,082.58750000W,IV-C,3
V-A-T,7,26.42278333N,082.15890000W,V-A,13
V-A-W,7,26.42278333N,082.15890000W,V-A,
V-A-LR,7,26.42278333N,082.15890000W,V-A,
V-A-Live,7,26.42278333N,082.15890000W,V-A,4
V-A-G1,7,26.42278333N,082.15890000W,V-A,6
V-A-G2,7,26.42278333N,082.15890000W,V-A,3
V-A-G3,7,26.42278333N,082.15890000W,V-A,
VI-A-T,9,25.96198333N,081.81186667W,VI-A,5
VI-A-W,9,25.96198333N,081.81186667W,VI-A,
VI-A-LR,9,25.96198333N,081.81186667W,VI-A,
VI-A-Live,9,25.96198333N,081.81186667W,VI-A,
VI-A-G1,9,25.96198333N,081.81186667W,VI-A,1
VI-A-G2,9,25.96198333N,081.81186667W,VI-A,3
VI-A-G3,9,25.96198333N,081.81186667W,VI-A,1
VII-A-T,8.5,25.86285000N,081.76720000W,VII-A,7
VII-A-W,8.5,25.86285000N,081.76720000W,VII-A,
VII-A-LR,8.5,25.86285000N,081.76720000W,VII-A,
VII-A-Live,8.5,25.86285000N,081.76720000W,VII-A,
VII-A-G1,8.5,25.86285000N,081.76720000W,VII-A,5
VII-A-G2,8.5,25.86285000N,081.76720000W,VII-A,1
VII-A-G3,8.5,25.86285000N,081.76720000W,VII-A,1
VIII-A-T,4.5,25.76390000N,081.70701667W,VIII-A,7
VIII-A-W,4.5,25.76390000N,081.70701667W,VIII-A,
VIII-A-LR,4.5,25.76390000N,081.70701667W,VIII-A,
VIII-A-Live,4.5,25.76390000N,081.70701667W,VIII-A,
VIII-A-G1,4.5,25.76390000N,081.70701667W,VIII-A,2
VIII-A-G2,4.5,25.76390000N,081.70701667W,VIII-A,1
VIII-A-G3,4.5,25.76390000N,081.70701667W,VIII-A,4
VIII-B-T,6,25.75566667N,081.72333333W,VIII-B,2
VIII-B-W,6,25.75566667N,081.72333333W,VIII-B,
VIII-B-LR,6,25.75566667N,081.72333333W,VIII-B,
VIII-B-Live,6,25.75566667N,081.72333333W,VIII-B,
VIII-B-G1,6,25.75566667N,081.72333333W,VIII-B,
VIII-B-G2,6,25.75566667N,081.72333333W,VIII-B,
VIII-B-G3,6,25.75566667N,081.72333333W,VIII-B,2
VIII-C-T,7.5,25.75366667N,081.77083333W,VIII-C,11
VIII-C-W,7.5,25.75366667N,081.77083333W,VIII-C,
VIII-C-LR,7.5,25.75366667N,081.77083333W,VIII-C,
VIII-C-Live,7.5,25.75366667N,081.77083333W,VIII-C,
VIII-C-G1,7.5,25.75366667N,081.77083333W,VIII-C,6
VIII-C-G2,7.5,25.75366667N,081.77083333W,VIII-C,3
VIII-C-G3,7.5,25.75366667N,081.77083333W,VIII-C,2
VIII-D-T,9,25.75001667N,081.79263333W,VIII-D,20
VIII-D-W,9,25.75001667N,081.79263333W,VIII-D,
VIII-D-LR,9,25.75001667N,081.79263333W,VIII-D,
VIII-D-Live,9,25.75001667N,081.79263333W,VIII-D,15
VIII-D-G1,9,25.75001667N,081.79263333W,VIII-D,4
VIII-D-G2,9,25.75001667N,081.79263333W,VIII-D,1
VIII-D-G3,9,25.75001667N,081.79263333W,VIII-D,
VIII-E-T,10.5,25.75016667N,081.83233333W,VIII-E,33
VIII-E-W,10.5,25.75016667N,081.83233333W,VIII-E,
VIII-E-LR,10.5,25.75016667N,081.83233333W,VIII-E,
VIII-E-Live,10.5,25.75016667N,081.83233333W,VIII-E,
VIII-E-G1,10.5,25.75016667N,081.83233333W,VIII-E,3
VIII-E-G2,10.5,25.75016667N,081.83233333W,VIII-E,12
VIII-E-G3,10.5,25.75016667N,081.83233333W,VIII-E,18
VIII-F-T,13,25.73706667N,081.89521667W,VIII-F,161
VIII-F-W,13,25.73706667N,081.89521667W,VIII-F,
VIII-F-LR,13,25.73706667N,081.89521667W,VIII-F,
VIII-F-Live,13,25.73706667N,081.89521667W,VIII-F,147
VIII-F-G1,13,25.73706667N,081.89521667W,VIII-F,13
VIII-F-G2,13,25.73706667N,081.89521667W,VIII-F,1
VIII-F-G3,13,25.73706667N,081.89521667W,VIII-F,
IX-A-T,4.5,25.49366667N,081.34405000W,IX-A,59
IX-A-W,4.5,25.49366667N,081.34405000W,IX-A,
IX-A-LR,4.5,25.49366667N,081.34405000W,IX-A,
IX-A-Live,4.5,25.49366667N,081.34405000W,IX-A,6
IX-A-G1,4.5,25.49366667N,081.34405000W,IX-A,27
IX-A-G2,4.5,25.49366667N,081.34405000W,IX-A,14
IX-A-G3,4.5,25.49366667N,081.34405000W,IX-A,12
IX-B-T,6,25.50115000N,081.42603333W,IX-B,10
IX-B-W,6,25.50115000N,081.42603333W,IX-B,
IX-B-LR,6,25.50115000N,081.42603333W,IX-B,
IX-B-Live,6,25.50115000N,081.42603333W,IX-B,
IX-B-G1,6,25.50115000N,081.42603333W,IX-B,2
IX-B-G2,6,25.50115000N,081.42603333W,IX-B,2
IX-B-G3,6,25.50115000N,081.42603333W,IX-B,6
IX-C-T,7.5,25.50106667N,081.54455000W,IX-C,28
IX-C-W,7.5,25.50106667N,081.54455000W,IX-C,
IX-C-LR,7.5,25.50106667N,081.54455000W,IX-C,
IX-C-Live,7.5,25.50106667N,081.54455000W,IX-C,4
IX-C-G1,7.5,25.50106667N,081.54455000W,IX-C,10
IX-C-G2,7.5,25.50106667N,081.54455000W,IX-C,7
IX-C-G3,7.5,25.50106667N,081.54455000W,IX-C,7
IX-D-T,9,25.49980000N,081.66963333W,IX-D,15
IX-D-W,9,25.49980000N,081.66963333W,IX-D,
IX-D-LR,9,25.49980000N,081.66963333W,IX-D,
IX-D-Live,9,25.49980000N,081.66963333W,IX-D,
IX-D-G1,9,25.49980000N,081.66963333W,IX-D,7
IX-D-G2,9,25.49980000N,081.66963333W,IX-D,3
IX-D-G3,9,25.49980000N,081.66963333W,IX-D,5
IX-E-T,11,25.49921667N,081.77748333W,IX-E,7
IX-E-W,11,25.49921667N,081.77748333W,IX-E,
IX-E-LR,11,25.49921667N,081.77748333W,IX-E,
IX-E-Live,11,25.49921667N,081.77748333W,IX-E,1
IX-E-G1,11,25.49921667N,081.77748333W,IX-E,
IX-E-G2,11,25.49921667N,081.77748333W,IX-E,
IX-E-G3,11,25.49921667N,081.77748333W,IX-E,6
IX-F-T,12,25.49691667N,081.86050000W,IX-F,6
IX-F-W,12,25.49691667N,081.86050000W,IX-F,
IX-F-LR,12,25.49691667N,081.86050000W,IX-F,
IX-F-Live,12,25.49691667N,081.86050000W,IX-F,
IX-F-G1,12,25.49691667N,081.86050000W,IX-F,5
IX-F-G2,12,25.49691667N,081.86050000W,IX-F,1
IX-F-G3,12,25.49691667N,081.86050000W,IX-F,
X-A-T,4.5,25.40066667N,081.29593333W,X-A,18
X-A-W,4.5,25.40066667N,081.29593333W,X-A,
X-A-LR,4.5,25.40066667N,081.29593333W,X-A,
X-A-Live,4.5,25.40066667N,081.29593333W,X-A,6
X-A-G1,4.5,25.40066667N,081.29593333W,X-A,10
X-A-G2,4.5,25.40066667N,081.29593333W,X-A,
X-A-G3,4.5,25.40066667N,081.29593333W,X-A,2
X-B-T,6,25.39966667N,081.40266667W,X-B,33
X-B-W,6,25.39966667N,081.40266667W,X-B,
X-B-LR,6,25.39966667N,081.40266667W,X-B,
X-B-Live,6,25.39966667N,081.40266667W,X-B,1
X-B-G1,6,25.39966667N,081.40266667W,X-B,14
X-B-G2,6,25.39966667N,081.40266667W,X-B,
X-B-G3,6,25.39966667N,081.40266667W,X-B,18
X-C-T,7.5,25.40043333N,081.52278333W,X-C,7
X-C-W,7.5,25.40043333N,081.52278333W,X-C,
X-C-LR,7.5,25.40043333N,081.52278333W,X-C,
X-C-Live,7.5,25.40043333N,081.52278333W,X-C,
X-C-G1,7.5,25.40043333N,081.52278333W,X-C,5
X-C-G2,7.5,25.40043333N,081.52278333W,X-C,2
X-C-G3,7.5,25.40043333N,081.52278333W,X-C,
X-D-T,9,25.40450000N,081.59048333W,X-D,8
X-D-W,9,25.40450000N,081.59048333W,X-D,
X-D-LR,9,25.40450000N,081.59048333W,X-D,
X-D-Live,9,25.40450000N,081.59048333W,X-D,
X-D-G1,9,25.40450000N,081.59048333W,X-D,3
X-D-G2,9,25.40450000N,081.59048333W,X-D,
X-D-G3,9,25.40450000N,081.59048333W,X-D,5
X-E-T,11,25.40170000N,081.62411667W,X-E,41
X-E-W,11,25.40170000N,081.62411667W,X-E,
X-E-LR,11,25.40170000N,081.62411667W,X-E,
X-E-Live,11,25.40170000N,081.62411667W,X-E,13
X-E-G1,11,25.40170000N,081.62411667W,X-E,
X-E-G2,11,25.40170000N,081.62411667W,X-E,
X-E-G3,11,25.40170000N,081.62411667W,X-E,28
X-F-T,12,25.39991667N,081.64415000W,X-F,24
X-F-W,12,25.39991667N,081.64415000W,X-F,
X-F-LR,12,25.39991667N,081.64415000W,X-F,
X-F-Live,12,25.39991667N,081.64415000W,X-F,1
X-F-G1,12,25.39991667N,081.64415000W,X-F,4
X-F-G2,12,25.39991667N,081.64415000W,X-F,
X-F-G3,12,25.39991667N,081.64415000W,X-F,19
XI-A-T,4.5,25.28328333N,081.27250000W,XI-A,52
XI-A-W,4.5,25.28328333N,081.27250000W,XI-A,
XI-A-LR,4.5,25.28328333N,081.27250000W,XI-A,
XI-A-Live,4.5,25.28328333N,081.27250000W,XI-A,6
XI-A-G1,4.5,25.28328333N,081.27250000W,XI-A,30
XI-A-G2,4.5,25.28328333N,081.27250000W,XI-A,9
XI-A-G3,4.5,25.28328333N,081.27250000W,XI-A,7
XI-B-T,6,25.28310000N,081.39223333W,XI-B,
XI-B-W,6,25.28310000N,081.39223333W,XI-B,
XI-B-LR,6,25.28310000N,081.39223333W,XI-B,
XI-B-Live,6,25.28310000N,081.39223333W,XI-B,
XI-B-G1,6,25.28310000N,081.39223333W,XI-B,
XI-B-G2,6,25.28310000N,081.39223333W,XI-B,
XI-B-G3,6,25.28310000N,081.39223333W,XI-B,
XI-C-T,7.5,25.29616667N,081.46718333W,XI-C,2
XI-C-W,7.5,25.29616667N,081.46718333W,XI-C,
XI-C-LR,7.5,25.29616667N,081.46718333W,XI-C,
XI-C-Live,7.5,25.29616667N,081.46718333W,XI-C,
XI-C-G1,7.5,25.29616667N,081.46718333W,XI-C,2
XI-C-G2,7.5,25.29616667N,081.46718333W,XI-C,
XI-C-G3,7.5,25.29616667N,081.46718333W,XI-C,
XI-D-T,9,25.29055000N,081.52751667W,XI-D,13
XI-D-W,9,25.29055000N,081.52751667W,XI-D,
XI-D-LR,9,25.29055000N,081.52751667W,XI-D,
XI-D-Live,9,25.29055000N,081.52751667W,XI-D,
XI-D-G1,9,25.29055000N,081.52751667W,XI-D,9
XI-D-G2,9,25.29055000N,081.52751667W,XI-D,
XI-D-G3,9,25.29055000N,081.52751667W,XI-D,4
XI-E-T,12,25.28266667N,081.65900000W,XI-E,27
XI-E-W,12,25.28266667N,081.65900000W,XI-E,
XI-E-LR,12,25.28266667N,081.65900000W,XI-E,
XI-E-Live,12,25.28266667N,081.65900000W,XI-E,1
XI-E-G1,12,25.28266667N,081.65900000W,XI-E,7
XI-E-G2,12,25.28266667N,081.65900000W,XI-E,11
XI-E-G3,12,25.28266667N,081.65900000W,XI-E,8
XII-A-T,30,27.51056667N,083.23006667W,XII-A,14
XII-A-W,30,27.51056667N,083.23006667W,XII-A,
XII-A-LR,30,27.51056667N,083.23006667W,XII-A,
XII-A-Live,30,27.51056667N,083.23006667W,XII-A,
XII-A-G1,30,27.51056667N,083.23006667W,XII-A,2
XII-A-G2,30,27.51056667N,083.23006667W,XII-A,4
XII-A-G3,30,27.51056667N,083.23006667W,XII-A,8
XII-B-T,61,27.44976667N,083.95083333W,XII-B,3
XII-B-W,61,27.44976667N,083.95083333W,XII-B,
XII-B-LR,61,27.44976667N,083.95083333W,XII-B,
XII-B-Live,61,27.44976667N,083.95083333W,XII-B,
XII-B-G1,61,27.44976667N,083.95083333W,XII-B,2
XII-B-G2,61,27.44976667N,083.95083333W,XII-B,1
XII-B-G3,61,27.44976667N,083.95083333W,XII-B,
XII-C-T,88,27.41168333N,084.27751667W,XII-C,
XII-C-W,88,27.41168333N,084.27751667W,XII-C,
XII-C-LR,88,27.41168333N,084.27751667W,XII-C,
XII-C-Live,88,27.41168333N,084.27751667W,XII-C,
XII-C-G1,88,27.41168333N,084.27751667W,XII-C,
XII-C-G2,88,27.41168333N,084.27751667W,XII-C,
XII-C-G3,88,27.41168333N,084.27751667W,XII-C,
XII-D-T,115,27.46730000N,084.36395000W,XII-D,2
XII-D-W,115,27.46730000N,084.36395000W,XII-D,
XII-D-LR,115,27.46730000N,084.36395000W,XII-D,
XII-D-Live,115,27.46730000N,084.36395000W,XII-D,
XII-D-G1,115,27.46730000N,084.36395000W,XII-D,2
XII-D-G2,115,27.46730000N,084.36395000W,XII-D,
XII-D-G3,115,27.46730000N,084.36395000W,XII-D,
XII-D2-T,108,27.41341667N,084.34298333W,XII-D2,
XII-D2-W,108,27.41341667N,084.34298333W,XII-D2,
XII-D2-LR,108,27.41341667N,084.34298333W,XII-D2,
XII-D2-Live,108,27.41341667N,084.34298333W,XII-D2,
XII-D2-G1,108,27.41341667N,084.34298333W,XII-D2,
XII-D2-G2,108,27.41341667N,084.34298333W,XII-D2,
XII-D2-G3,108,27.41341667N,084.34298333W,XII-D2,
XII-E-T,147,27.40256667N,084.51506667W,XII-E,
XII-E-W,147,27.40256667N,084.51506667W,XII-E,
XII-E-LR,147,27.40256667N,084.51506667W,XII-E,
XII-E-Live,147,27.40256667N,084.51506667W,XII-E,
XII-E-G1,147,27.40256667N,084.51506667W,XII-E,
XII-E-G2,147,27.40256667N,084.51506667W,XII-E,
XII-E-G3,147,27.40256667N,084.51506667W,XII-E,
XII-F-T,180,27.38331667N,084.63073333W,XII-F,
XII-F-W,180,27.38331667N,084.63073333W,XII-F,
XII-F-LR,180,27.38331667N,084.63073333W,XII-F,
XII-F-Live,180,27.38331667N,084.63073333W,XII-F,
XII-F-G1,180,27.38331667N,084.63073333W,XII-F,
XII-F-G2,180,27.38331667N,084.63073333W,XII-F,
XII-F-G3,180,27.38331667N,084.63073333W,XII-F,
XII-G-T,213,27.40156667N,084.73001667W,XII-G,
XII-G-W,213,27.40156667N,084.73001667W,XII-G,
XII-G-LR,213,27.40156667N,084.73001667W,XII-G,
XII-G-Live,213,27.40156667N,084.73001667W,XII-G,
XII-G-G1,213,27.40156667N,084.73001667W,XII-G,
XII-G-G2,213,27.40156667N,084.73001667W,XII-G,
XII-G-G3,213,27.40156667N,084.73001667W,XII-G,
XII-H-T,233,27.40015000N,084.77338333W,XII-H,
XII-H-W,233,27.40015000N,084.77338333W,XII-H,
XII-H-LR,233,27.40015000N,084.77338333W,XII-H,
XII-H-Live,233,27.40015000N,084.77338333W,XII-H,
XII-H-G1,233,27.40015000N,084.77338333W,XII-H,
XII-H-G2,233,27.40015000N,084.77338333W,XII-H,
XII-H-G3,233,27.40015000N,084.77338333W,XII-H,
XII-I-T,271.5,27.39726667N,084.84628333W,XII-I,
XII-I-W,271.5,27.39726667N,084.84628333W,XII-I,
XII-I-LR,271.5,27.39726667N,084.84628333W,XII-I,
XII-I-Live,271.5,27.39726667N,084.84628333W,XII-I,
XII-I-G1,271.5,27.39726667N,084.84628333W,XII-I,
XII-I-G2,271.5,27.39726667N,084.84628333W,XII-I,
XII-I-G3,271.5,27.39726667N,084.84628333W,XII-I,
XII-J-T,306,27.31596667N,084.87053333W,XII-J,
XII-J-W,306,27.31596667N,084.87053333W,XII-J,
XII-J-LR,306,27.31596667N,084.87053333W,XII-J,
XII-J-Live,306,27.31596667N,084.87053333W,XII-J,
